"","Sand","Silt","Clay"
"18100",24,12,64
"18103",36,14,50
"18113",56,18,26
"18115",52,21,27
"18142",65,3,32
"18158",43,14,43
"18166",42,22,36
"18167",47,19,34
"18201",57,15,28
"18216",51,14,35
"18231",86,0,14
"18251",58,12,30
"18256",92,0.7,7.3
"18293",41,1,58
"18301",88,0,12
"18323",83,1,16
"18327",80,1,19
"18333",53,11,36
"18350",64,23,13
"18351",55,27,18
"18374",46,14,40
"18376",40,20,40
"18379",46,12,42
"18386",88,0,12
"18407",49,3,48
"18449",76,4,20
"18477",50,17,33
"18530",76,10,14
"18567",78,10,12
"18575",72,6,22
"18576",71,6,23
"18578",62,18,20
"18579",60,19,21
"18586",93,3,4
"18666",85,4,11
"18687",57,5,38
"18703",86,0,14
"18731",36,12,52
"18748",40,14,46
"18755",63,11,26
"18757",56,13,31
"18770",57,3,40
"18779",35,13,52
"18780",31,29,40
"18783",41,17,42
"18784",49,16,35
"18794",28,22,50
"18811",57,13,30
"18814",63,3,34
"18844",23,18,59
"18848",62,13,25
"18850",58,12,30
"18858",68,11,21
"18861",43,26,31
"18866",26,11,63
"18889",31,13,56
"18890",30,20,50
"18904",30,24,46
"18907",57,16,27
"18915",55,12,33
"18932",79,3,18
"18940",43,11,46
"18958",82,2,16
"18982",48,27,25
"18985",16,25,59
"18989",13,18,69
"18993",98,0.3,1.7
"19004",17,35,48
"19005",16,36,48
"19006",13,35,52
"19053",68,3,29
"19057",53,10,37
"19068",50,12,38
"19070",41,10,49
"19085",59,5,36
"19088",23,17,60
"19089",21,16,63
"19106",41,22,37
"19124",52,13,35
"19127",38,16,46
"19132",96,1.5,2.5
"19138",36,15,49
"19146",45,13,42
"19148",44,16,40
"19183",60,14,26
"19191",15,23,62
"19192",15,20,65
"19209",53,13,34
"19214",87,6.7,6.3
"19226",39,10,51
"19230",88,5,7
"19244",81,1,18
"19256",48,15,37
"19297",95,0.7,4.3
"19304",28,15,57
"19309",12,34,54
"19349",99,1,0
"19360",87,1,12
"19380",82,3,15
"19430",62,10,28
"19455",89,5.6,5.4
"19467",83,4,13
"19474",48,13,39
"19482",35,20,45
"19500",56,15,29
"19521",72,13,15
"19524",46,9,45
"19525",50,7,43
"19540",59,13,28
"19554",76,10,14
"19573",43,15,42
"19574",45,15,40
"19577",44,12,44
"19587",24,20,56
"19597",23,22,55
"19602",41,15,44
"19603",38,15,47
"19604",37,16,47
"19608",22,23,55
"19620",26,23,51
"19623",21,26,53
"19624",20,23,57
"19626",32,30,38
"19638",49,12,39
"19640",58,13,29
"19649",21,20,59
"19650",25,19,56
"19663",21,35,44
"19683",52,13,35
"19684",46,18,36
"19685",43,18,39
"19686",42,22,36
"19702",70,11,19
"19707",66,11,23
"19708",66,11,23
"19711",92,3.7,4.3
"19746",62,3,35
"19748",90,3.4,6.6
"19750",89,2.9,8.1
"19773",70,10,20
"19837",42,4,54
"19861",75,5,20
"19871",50,13,37
"19908",44,12,44
"19909",43,15,42
"19931",48,16,36
"19935",46,6,48
"19938",86,7,7
"19940",77,7,16
"19946",73,6,21
"19970",74,14,12
"19972",60,12,28
"19996",52,0,48
"20017",70,2,28
"20048",63,3,34
"20049",62,3,35
"20050",63,11,26
"20051",61,9,30
"20055",45,13,42
"20059",52,11,37
"20060",74,10,16
"20062",67,11,22
"20064",68,11,21
"20065",63,19,18
"20067",48,13,39
"20068",50,14,36
"20071",54,7,39
"20073",80,4,16
"20080",48,13,39
"20081",45,10,45
"20083",43,12,45
"20085",52,12,36
"20087",47,11,42
"20100",3,12,85
"20105",54,12,34
"20115",67,11,22
"20117",68,9,23
"20119",57,24,19
"20120",55,22,23
"20123",53,13,34
"20124",36,13,51
"20125",36,12,52
"20126",35,14,51
"20128",48,12,40
"20129",49,11,40
"20135",46,14,40
"20136",62,13,25
"20138",57,12,31
"20139",52,13,35
"20140",54,13,33
"20141",14,24,62
"20142",13,28,59
"20145",53,20,27
"20146",62,17,21
"20148",66,14,20
"20150",39,16,45
"20152",35,16,49
"20164",87,4.3,8.7
"20166",47,20,33
"20168",42,19,39
"20169",41,16,43
"20170",41,14,45
"20182",91,3.3,5.7
"20189",49,30,21
"20195",40,23,37
"20196",45,23,32
"20198",53,20,27
"20207",56,11,33
"20212",53,11,36
"20213",50,13,37
"20214",49,12,39
"20215",44,23,33
"20216",48,11,41
"20217",47,10,43
"20218",51,8,41
"20229",39,14,47
"20230",37,15,48
"20231",35,12,53
"20232",37,16,47
"20233",42,16,42
"20235",22,19,59
"20237",20,26,54
"20238",67,11,22
"20243",44,10,46
"20244",33,18,49
"20254",65,10,25
"20260",43,6,51
"20267",17,31,52
"20268",18,29,53
"20270",15,26,59
"20272",12,19,69
"20276",29,17,54
"20278",68,14,18
"20282",82,3,15
"20285",93,1.5,5.5
"20288",83,0,17
"20298",64,10,26
"20299",63,11,26
"20301",59,9,32
"20303",89,6.2,4.8
"20316",63,5,32
"20319",95,3,2
"20321",94,4,2
"20330",38,14,48
"20350",76,4,20
"20360",61,5,34
"20364",56,5,39
"20365",42,30,28
"20366",39,29,32
"20367",37,30,33
"20369",33,29,38
"20370",39,29,32
"20376",55,6,39
"20378",22,26,52
"20379",19,28,53
"20380",15,18,67
"20381",13,17,70
"20382",14,18,68
"20384",92,3.4,4.6
"20393",59,6,35
"20401",27,19,54
"20421",37,22,41
"20422",30,25,45
"20423",29,27,44
"20424",24,41,35
"20437",14,23,63
"20438",24,26,50
"20443",39,9,52
"20453",57,3,40
"20469",43,5,52
"20476",42,23,35
"20477",41,23,36
"20478",40,22,38
"20479",36,22,42
"20480",34,24,42
"20481",29,32,39
"20483",65,9,26
"20492",56,3,41
"20495",48,21,31
"20496",48,22,30
"20497",48,24,28
"20498",49,17,34
"20499",50,16,34
"20506",84,4,12
"20529",56,7,37
"20531",46,14,40
"20532",43,14,43
"20533",40,17,43
"20538",68,10,22
"20551",55,8,37
"20553",36,39,25
"20554",33,37,30
"20555",31,39,30
"20556",33,41,26
"20557",70,11,19
"20560",58,14,28
"20561",56,13,31
"20566",57,11,32
"20568",49,12,39
"20578",74,14,12
"20579",76,11,13
"20581",74,12,14
"20582",74,12,14
"20586",48,8,44
"20589",41,10,49
"20594",46,17,37
"20595",35,18,47
"20596",57,12,31
"20598",54,15,31
"20599",60,14,26
"20602",84,3,13
"20642",64,5,31
"20643",58,6,36
"20650",60,4,36
"20652",70,0,30
"20659",69,1,30
"20668",78,8,14
"20678",63,16,21
"20679",64,17,19
"20680",62,16,22
"20681",65,17,18
"20687",85,3,12
"20695",88,3.8,8.2
"20696",88,3.8,8.2
"20702",65,22,13
"20706",49,18,33
"20710",59,10,31
"20712",92,2.6,5.4
"20724",64,19,17
"20727",46,18,36
"20728",45,18,37
"20736",87,6.2,6.8
"20739",61,11,28
"20740",50,9,41
"20745",83,3,14
"20748",80,3,17
"20749",51,15,34
"20760",66,10,24
"20773",67,19,14
"20774",64,18,18
"20775",60,20,20
"20776",53,16,31
"20777",75,8,17
"20788",75,12,13
"20789",64,17,19
"20792",34,14,52
"20793",32,13,55
"20794",34,18,48
"20795",26,11,63
"20796",22,18,60
"20799",44,16,40
"20800",36,18,46
"20801",57,4,39
"20802",58,4,38
"20816",89,0,11
"20818",95,2.2,2.8
"20834",71,1,28
"20840",27,11,62
"20853",66,19,15
"20854",63,20,17
"20880",88,1,11
"20881",88,1,11
"20887",98,0,2
"20895",92,1.1,6.9
"20903",64,5,31
"20914",77,4,19
"20924",25,18,57
"20925",19,12,69
"20926",12,17,71
"20928",83,5,12
"20940",29,41,30
"20941",15,23,62
"20942",17,31,52
"20946",72,12,16
"20947",62,11,27
"20948",74,12,14
"20949",69,12,19
"20951",65,15,20
"20952",58,17,25
"20953",41,24,35
"20954",23,19,58
"20961",59,1,40
"20966",73,0,27
"20968",56,22,22
"20969",57,22,21
"20970",57,18,25
"20971",54,19,27
"20973",58,18,24
"20976",89,7.3,3.7
"20983",13,28,59
"20987",70,7,23
"20989",77,13,10
"20990",56,14,30
"20991",36,17,47
"20992",31,27,42
"20993",36,30,34
"20998",54,13,33
"20999",48,21,31
"21001",49,21,30
"21002",41,20,39
"21004",32,23,45
"21005",79,10,11
"21006",77,8,15
"21009",51,15,34
"21011",17,23,60
"21021",76,14,10
"21023",80,14,6
"21024",84,13,3
"21032",59,17,24
"21034",46,10,44
"21035",40,10,50
"21045",71,6,23
"21046",67,8,25
"21051",70,2,28
"21058",49,3,48
"21063",91,2.7,6.3
"21065",88,0,12
"21069",65,18,17
"21070",63,17,20
"21072",49,17,34
"21073",50,18,32
"21087",64,18,18
"21088",61,18,21
"21089",49,22,29
"21091",44,22,34
"21097",50,11,39
"21098",53,13,34
"21100",89,3,8
"21108",82,3,15
"21111",80,2,18
"21123",92,1.3,6.7
"21127",87,0,13
"21141",82,1,17
"21146",95,1.6,3.4
"21156",93,2.1,4.9
"21163",90,0.1,9.9
"21167",88,2.5,9.5
"21172",40,0,60
"21194",95,2.5,2.5
"21204",85,5,10
"21210",79,10,11
"21216",85,3,12
"21218",82,3,15
"21220",80,3,17
"21238",50,16,34
"21239",50,14,36
"21241",48,16,36
"21249",49,9,42
"21253",61,19,20
"21255",44,14,42
"21258",41,17,42
"21266",28,18,54
"21267",24,12,64
"21269",33,11,56
