"","AGE","POP","time","SEX"
"1",0,-572954,2010,"Male"
"2",1,-581748,2010,"Male"
"3",2,-585239,2010,"Male"
"4",3,-582223,2010,"Male"
"5",4,-568788,2010,"Male"
"6",5,-571899,2010,"Male"
"7",6,-590530,2010,"Male"
"8",7,-602349,2010,"Male"
"9",8,-612527,2010,"Male"
"10",9,-620373,2010,"Male"
"11",10,-619459,2010,"Male"
"12",11,-657577,2010,"Male"
"13",12,-660745,2010,"Male"
"14",13,-662033,2010,"Male"
"15",14,-674129,2010,"Male"
"16",15,-677114,2010,"Male"
"17",16,-625888,2010,"Male"
"18",17,-619600,2010,"Male"
"19",18,-630389,2010,"Male"
"20",19,-618068,2010,"Male"
"21",20,-609281,2010,"Male"
"22",21,-620004,2010,"Male"
"23",22,-647687,2010,"Male"
"24",23,-670543,2010,"Male"
"25",24,-688413,2010,"Male"
"26",25,-711549,2010,"Male"
"27",26,-731136,2010,"Male"
"28",27,-734791,2010,"Male"
"29",28,-737263,2010,"Male"
"30",29,-756566,2010,"Male"
"31",30,-791118,2010,"Male"
"32",31,-777633,2010,"Male"
"33",32,-805757,2010,"Male"
"34",33,-828881,2010,"Male"
"35",34,-856998,2010,"Male"
"36",35,-906511,2010,"Male"
"37",36,-969013,2010,"Male"
"38",37,-972824,2010,"Male"
"39",38,-950277,2010,"Male"
"40",39,-926304,2010,"Male"
"41",40,-901582,2010,"Male"
"42",41,-903751,2010,"Male"
"43",42,-884824,2010,"Male"
"44",43,-831658,2010,"Male"
"45",44,-735217,2010,"Male"
"46",45,-844396,2010,"Male"
"47",46,-816296,2010,"Male"
"48",47,-793764,2010,"Male"
"49",48,-770946,2010,"Male"
"50",49,-769802,2010,"Male"
"51",50,-776564,2010,"Male"
"52",51,-790779,2010,"Male"
"53",52,-769151,2010,"Male"
"54",53,-761205,2010,"Male"
"55",54,-799720,2010,"Male"
"56",55,-820850,2010,"Male"
"57",56,-835749,2010,"Male"
"58",57,-881619,2010,"Male"
"59",58,-927931,2010,"Male"
"60",59,-984969,2010,"Male"
"61",60,-1058368,2010,"Male"
"62",61,-1127634,2010,"Male"
"63",62,-1102575,2010,"Male"
"64",63,-962423,2010,"Male"
"65",64,-680442,2010,"Male"
"66",65,-743952,2010,"Male"
"67",66,-838621,2010,"Male"
