"","month","day","year","temp","yearday"
"1",1,1,2016,41,1
"2",1,2,2016,37,2
"3",1,3,2016,40,3
"4",1,4,2016,33,4
"5",1,5,2016,19,5
"6",1,6,2016,32,6
"7",1,7,2016,39,7
"8",1,8,2016,40,8
"9",1,9,2016,43,9
"10",1,10,2016,50,10
"11",1,11,2016,37,11
"12",1,12,2016,32,12
"13",1,13,2016,29,13
"14",1,14,2016,28,14
"15",1,15,2016,37,15
"16",1,16,2016,46,16
"17",1,17,2016,38,17
"18",1,18,2016,29,18
"19",1,19,2016,22,19
"20",1,20,2016,32,20
"21",1,21,2016,32,21
"22",1,22,2016,27,22
"23",1,23,2016,27,23
"24",1,24,2016,28,24
"25",1,25,2016,33,25
"26",1,26,2016,40,26
"27",1,27,2016,44,27
"28",1,28,2016,37,28
"29",1,29,2016,39,29
"30",1,30,2016,34,30
"31",1,31,2016,41,31
"32",2,1,2016,50,32
"33",2,2,2016,45,33
"34",2,3,2016,48,34
"35",2,4,2016,54,35
"36",2,5,2016,39,36
"37",2,6,2016,36,37
"38",2,7,2016,39,38
"39",2,8,2016,36,39
"40",2,9,2016,30,40
"41",2,10,2016,35,41
"42",2,11,2016,28,42
"43",2,12,2016,21,43
"44",2,13,2016,21,44
"45",2,14,2016,8.3,45
"46",2,15,2016,19,46
"47",2,16,2016,46,47
"48",2,17,2016,39,48
"49",2,18,2016,33,49
"50",2,19,2016,30,50
"51",2,20,2016,47,51
"52",2,21,2016,55,52
"53",2,22,2016,46,53
"54",2,23,2016,38,54
"55",2,24,2016,39,55
"56",2,25,2016,52,56
"57",2,26,2016,36,57
"58",2,27,2016,32,58
"59",2,28,2016,46,59
"60",3,1,2016,46,60
"61",3,2,2016,46,61
"62",3,3,2016,31,62
"63",3,4,2016,33,63
"64",3,5,2016,34,64
"65",3,6,2016,36,65
"66",3,7,2016,45,66
"67",3,8,2016,53,67
"68",3,9,2016,54,68
"69",3,10,2016,70,69
"70",3,11,2016,61,70
"71",3,12,2016,49,71
"72",3,13,2016,56,72
"73",3,14,2016,47,73
"74",3,15,2016,48,74
"75",3,16,2016,53,75
"76",3,17,2016,52,76
"77",3,18,2016,53,77
"78",3,19,2016,43,78
"79",3,20,2016,38,79
"80",3,21,2016,39,80
"81",3,22,2016,43,81
"82",3,23,2016,57,82
"83",3,24,2016,50,83
"84",3,25,2016,55,84
"85",3,26,2016,47,85
"86",3,27,2016,45,86
"87",3,28,2016,47,87
"88",3,29,2016,49,88
"89",3,30,2016,45,89
"90",3,31,2016,57,90
"91",4,1,2016,62,91
"92",4,2,2016,56,92
"93",4,3,2016,42,93
"94",4,4,2016,39,94
"95",4,5,2016,32,95
"96",4,6,2016,39,96
"97",4,7,2016,52,97
"98",4,8,2016,48,98
"99",4,9,2016,41,99
"100",4,10,2016,40,100
"101",4,11,2016,50,101
"102",4,12,2016,53,102
"103",4,13,2016,48,103
"104",4,14,2016,49,104
"105",4,15,2016,50,105
"106",4,16,2016,52,106
"107",4,17,2016,55,107
"108",4,18,2016,62,108
"109",4,19,2016,65,109
"110",4,20,2016,58,110
"111",4,21,2016,58,111
"112",4,22,2016,70,112
"113",4,23,2016,66,113
"114",4,24,2016,57,114
"115",4,25,2016,56,115
"116",4,26,2016,54,116
"117",4,27,2016,51,117
"118",4,28,2016,53,118
"119",4,29,2016,52,119
"120",4,30,2016,52,120
"121",5,1,2016,50,121
"122",5,2,2016,50,122
"123",5,3,2016,54,123
"124",5,4,2016,51,124
"125",5,5,2016,52,125
"126",5,6,2016,52,126
"127",5,7,2016,52,127
"128",5,8,2016,55,128
"129",5,9,2016,62,129
"130",5,10,2016,59,130
"131",5,11,2016,58,131
"132",5,12,2016,66,132
"133",5,13,2016,61,133
"134",5,14,2016,66,134
"135",5,15,2016,56,135
"136",5,16,2016,52,136
"137",5,17,2016,62,137
"138",5,18,2016,59,138
"139",5,19,2016,60,139
"140",5,20,2016,64,140
"141",5,21,2016,62,141
"142",5,22,2016,60,142
"143",5,23,2016,65,143
"144",5,24,2016,65,144
"145",5,25,2016,74,145
"146",5,26,2016,82,146
"147",5,27,2016,76,147
"148",5,28,2016,79,148
"149",5,29,2016,80,149
"150",5,30,2016,73,150
"151",5,31,2016,76,151
"152",6,1,2016,76,152
"153",6,2,2016,68,153
